[1] "not converged = 12"
[1] "total params = 3975"
[1] "which not converged: "
[1] "missing data: 0.382506527415144"
               Rhat
use[8,72]  1.102302
use[1,86]  1.102509
use[4,40]  1.104379
use[15,9]  1.110314
use[7,4]   1.128338
use[7,77]  1.169161
use[2,28]  1.310167
use[5,18]  1.324380
use[7,70]  1.349500
use[5,38]  1.661073
use[7,42]  1.964409
use[16,90] 2.378100
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/beta/m1o.txt", fit using jags,
 3 chains, each with 3000 iterations (first 100 discarded)
 n.sims = 8700 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
beta_j         -1.071   0.080    -1.223    -1.125    -1.071    -1.019    -0.910
mn[1]          -1.851   0.063    -1.917    -1.883    -1.871    -1.848    -1.662
mn[2]           3.390   0.262     2.877     3.211     3.391     3.569     3.900
mu[4,14]        0.137   0.013     0.122     0.130     0.134     0.139     0.174
mu[5,14]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[6,14]        0.136   0.011     0.122     0.130     0.134     0.139     0.165
mu[7,14]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[8,14]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[9,14]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[10,14]       0.136   0.011     0.121     0.130     0.133     0.138     0.166
mu[11,14]       0.136   0.011     0.122     0.130     0.133     0.139     0.165
mu[12,14]       0.136   0.012     0.122     0.130     0.134     0.138     0.168
mu[13,14]       0.137   0.012     0.122     0.130     0.134     0.139     0.169
mu[14,14]       0.136   0.011     0.122     0.130     0.133     0.138     0.166
mu[15,14]       0.136   0.012     0.121     0.130     0.134     0.139     0.169
mu[16,14]       0.136   0.012     0.121     0.130     0.133     0.139     0.168
mu[1,15]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[2,15]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[3,15]        0.136   0.011     0.122     0.130     0.134     0.139     0.165
mu[4,15]        0.136   0.011     0.122     0.130     0.133     0.139     0.167
mu[5,15]        0.136   0.011     0.122     0.130     0.133     0.138     0.167
mu[6,15]        0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[7,15]        0.136   0.011     0.122     0.130     0.133     0.139     0.166
mu[8,15]        0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[9,15]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[10,15]       0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[11,15]       0.136   0.011     0.121     0.130     0.134     0.139     0.166
mu[12,15]       0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[13,15]       0.137   0.012     0.123     0.131     0.134     0.139     0.172
mu[14,15]       0.136   0.011     0.121     0.130     0.133     0.138     0.167
mu[15,15]       0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[16,15]       0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[1,16]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[2,16]        0.136   0.011     0.122     0.130     0.134     0.139     0.165
mu[3,16]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[4,16]        0.136   0.011     0.121     0.130     0.133     0.138     0.166
mu[5,16]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[6,16]        0.136   0.011     0.121     0.130     0.134     0.138     0.167
mu[7,16]        0.136   0.011     0.122     0.130     0.133     0.138     0.168
mu[8,16]        0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[9,16]        0.136   0.011     0.121     0.130     0.133     0.138     0.166
mu[10,16]       0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[11,16]       0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[12,16]       0.136   0.011     0.122     0.130     0.134     0.139     0.168
mu[13,16]       0.136   0.011     0.122     0.130     0.133     0.138     0.164
mu[14,16]       0.137   0.012     0.122     0.130     0.134     0.139     0.173
mu[15,16]       0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[16,16]       0.136   0.011     0.121     0.130     0.133     0.139     0.167
mu[1,17]        0.136   0.012     0.122     0.130     0.134     0.139     0.169
mu[2,17]        0.136   0.011     0.122     0.130     0.133     0.138     0.167
mu[3,17]        0.136   0.011     0.121     0.130     0.133     0.138     0.166
mu[4,17]        0.136   0.011     0.122     0.130     0.133     0.138     0.165
mu[5,17]        0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[6,17]        0.136   0.011     0.121     0.130     0.133     0.139     0.166
mu[7,17]        0.136   0.012     0.122     0.130     0.134     0.139     0.167
mu[8,17]        0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[9,17]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[10,17]       0.136   0.012     0.121     0.130     0.133     0.138     0.166
mu[11,17]       0.137   0.012     0.122     0.131     0.134     0.139     0.171
mu[12,17]       0.136   0.012     0.122     0.130     0.134     0.139     0.168
mu[13,17]       0.136   0.011     0.121     0.130     0.133     0.138     0.166
mu[14,17]       0.136   0.011     0.122     0.130     0.134     0.138     0.164
mu[15,17]       0.136   0.011     0.122     0.130     0.134     0.139     0.167
mu[16,17]       0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[1,18]        0.136   0.011     0.122     0.130     0.134     0.138     0.168
mu[2,18]        0.136   0.011     0.122     0.130     0.134     0.139     0.166
mu[3,18]        0.136   0.011     0.122     0.130     0.134     0.138     0.166
mu[4,18]        0.136   0.011     0.122     0.130     0.133     0.138     0.168
mu[5,18]        0.136   0.011     0.122     0.130     0.134     0.138     0.167
mu[6,18]        0.136   0.011     0.121     0.130     0.134     0.139     0.166
